dataset_name,algorithm_name,combined_score,f1_score,cover_score,batch_size,max_dist_size,new_dist_buffer_size,threshold_ratio,version,execution_time_s
well_log,WATCH_Origin,1.7274392658160227,0.9117291414752117,0.815710124340811,3,50,8,2.5,,0.5121133327484131
scanline_126007,WATCH_Stage1,1.386393380719713,0.7673430863614913,0.6190502943582217,7,16,3,3.0,6.0,0.0018656253814697266
scanline_126007,WATCH_Stage3,1.3707506751783227,0.7174721189591078,0.6532785562192149,3,48,128,0.5,6.0,0.0011682510375976562
scanline_126007,WATCH_Stage3_List,1.3459575223758928,0.8688524590163935,0.4771050633594993,5,16,112,0.1,6.0,0.0020208358764648438
scanline_126007,WATCH_Origin,1.3740975189459042,0.8801128349788434,0.4939846839670608,7,75,8,1.5,,0.16455459594726562
quality_control_4,WATCH_Stage1,1.4532286048780487,0.7804878048780489,0.6727407999999999,5,48,8,4.0,6.0,0.0030341148376464844
quality_control_4,WATCH_Stage3,1.4532286048780487,0.7804878048780489,0.6727407999999999,5,96,8,4.0,6.0,0.0035064220428466797
quality_control_4,WATCH_Stage3_List,0.9796438390698153,0.55,0.4296438390698153,3,64,112,0.1,6.0,0.003706693649291992
quality_control_4,WATCH_Origin,1.4532286048780487,0.7804878048780489,0.6727407999999999,7,0,8,3.5,,1.7541468143463135
quality_control_2,WATCH_Stage1,1.9265200095891666,1.0,0.9265200095891666,7,8,3,1.5,6.0,0.0016472339630126953
quality_control_2,WATCH_Stage3,1.9265200095891666,1.0,0.9265200095891666,7,80,32,1.5,6.0,0.0027692317962646484
quality_control_2,WATCH_Stage3_List,1.4234840989399293,0.8,0.6234840989399293,5,16,96,0.1,6.0,0.0011963844299316406
quality_control_2,WATCH_Origin,1.923032444587215,1.0,0.9230324445872149,3,25,10,2.5,,0.13677668571472168
gdp_croatia,WATCH_Stage1,1.8333333333333335,1.0,0.8333333333333334,7,32,8,0.1,6.0,0.0001614093780517578
gdp_croatia,WATCH_Stage3,1.8333333333333335,1.0,0.8333333333333334,7,8,8,0.1,6.0,8.153915405273438e-05
gdp_croatia,WATCH_Stage3_List,1.8333333333333335,1.0,0.8333333333333334,7,16,12,0.1,6.0,8.749961853027344e-05
gdp_croatia,WATCH_Origin,1.8333333333333335,1.0,0.8333333333333334,7,0,8,1.0,,0.0045168399810791016
bee_waggle_6,WATCH_Stage1,1.8196998498170576,0.9285714285714287,0.8911284212456287,10,64,96,0.9,6.0,0.0013344287872314453
bee_waggle_6,WATCH_Stage3,1.8196998498170576,0.9285714285714287,0.8911284212456287,10,96,32,0.9,6.0,0.0012617111206054688
bee_waggle_6,WATCH_Stage3_List,0.5971829203550749,0.325,0.27218292035507485,7,32,128,0.1,6.0,0.0022923946380615234
bee_waggle_6,WATCH_Origin,1.8196998498170576,0.9285714285714287,0.8911284212456287,3,0,5,2.5,,18.062061548233032
seatbelts,WATCH_Stage1,1.8393364518364517,0.9743589743589743,0.8649774774774774,3,80,48,0.9,6.0,0.0029935836791992188
seatbelts,WATCH_Stage3,1.8191232287449393,0.9743589743589743,0.8447642543859649,3,16,48,0.7,6.0,0.0006504058837890625
seatbelts,WATCH_Stage3_List,1.571031746031746,0.8571428571428571,0.7138888888888889,7,8,80,0.1,6.0,0.0010075569152832031
seatbelts,WATCH_Origin,1.4503392168128162,0.75,0.7003392168128161,3,25,10,2.5,,0.13138961791992188
ozone,WATCH_Stage1,1.7873965280734119,0.9655172413793104,0.8218792866941016,3,112,16,1.1,6.0,0.00048089027404785156
ozone,WATCH_Stage3,1.7873965280734119,0.9655172413793104,0.8218792866941016,3,8,16,1.5,6.0,0.00040268898010253906
ozone,WATCH_Stage3_List,1.706819149347885,0.9655172413793104,0.7413019079685746,3,8,32,0.1,6.0,0.0002384185791015625
ozone,WATCH_Origin,1.6551234567901234,1.0,0.6551234567901234,3,75,10,2.0,,0.05343270301818848
